nohup: ignoring input
2026-09-17 11:42:11,789 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.01.tif.gz (attempt 1/4)
2026-09-17 11:42:19,036 | INFO    | ingestion.chirps | Processed 2019-01
2026-09-17 11:42:19,036 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.02.tif.gz (attempt 1/4)
2026-09-17 11:42:25,157 | INFO    | ingestion.chirps | Processed 2019-02
2026-09-17 11:42:25,158 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.03.tif.gz (attempt 1/4)
2026-09-17 11:42:30,438 | INFO    | ingestion.chirps | Processed 2019-03
2026-09-17 11:42:30,439 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.04.tif.gz (attempt 1/4)
2026-09-17 11:42:36,239 | INFO    | ingestion.chirps | Processed 2019-04
2026-09-17 11:42:36,240 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.05.tif.gz (attempt 1/4)
2026-09-17 11:42:43,053 | INFO    | ingestion.chirps | Processed 2019-05
2026-09-17 11:42:43,056 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.06.tif.gz (attempt 1/4)
2026-09-17 11:42:50,238 | INFO    | ingestion.chirps | Processed 2019-06
2026-09-17 11:42:50,239 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.07.tif.gz (attempt 1/4)
2026-09-17 11:42:55,827 | INFO    | ingestion.chirps | Processed 2019-07
2026-09-17 11:42:55,828 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.08.tif.gz (attempt 1/4)
2026-09-17 11:43:01,855 | INFO    | ingestion.chirps | Processed 2019-08
2026-09-17 11:43:01,855 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.09.tif.gz (attempt 1/4)
2026-09-17 11:43:08,853 | INFO    | ingestion.chirps | Processed 2019-09
2026-09-17 11:43:08,853 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.10.tif.gz (attempt 1/4)
2026-09-17 11:43:14,874 | INFO    | ingestion.chirps | Processed 2019-10
2026-09-17 11:43:14,875 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.11.tif.gz (attempt 1/4)
2026-09-17 11:43:19,997 | INFO    | ingestion.chirps | Processed 2019-11
2026-09-17 11:43:19,998 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2019.12.tif.gz (attempt 1/4)
2026-09-17 11:43:25,853 | INFO    | ingestion.chirps | Processed 2019-12
2026-09-17 11:43:25,853 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.01.tif.gz (attempt 1/4)
2026-09-17 11:43:32,507 | INFO    | ingestion.chirps | Processed 2020-01
2026-09-17 11:43:32,508 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.02.tif.gz (attempt 1/4)
2026-09-17 11:43:39,052 | INFO    | ingestion.chirps | Processed 2020-02
2026-09-17 11:43:39,053 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.03.tif.gz (attempt 1/4)
2026-09-17 11:43:44,978 | INFO    | ingestion.chirps | Processed 2020-03
2026-09-17 11:43:44,978 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.04.tif.gz (attempt 1/4)
2026-09-17 11:43:51,826 | INFO    | ingestion.chirps | Processed 2020-04
2026-09-17 11:43:51,826 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.05.tif.gz (attempt 1/4)
2026-09-17 11:43:58,316 | INFO    | ingestion.chirps | Processed 2020-05
2026-09-17 11:43:58,316 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.06.tif.gz (attempt 1/4)
2026-09-17 11:44:05,019 | INFO    | ingestion.chirps | Processed 2020-06
2026-09-17 11:44:05,019 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.07.tif.gz (attempt 1/4)
2026-09-17 11:44:11,669 | INFO    | ingestion.chirps | Processed 2020-07
2026-09-17 11:44:11,696 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.08.tif.gz (attempt 1/4)
2026-09-17 11:44:18,680 | INFO    | ingestion.chirps | Processed 2020-08
2026-09-17 11:44:18,681 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.09.tif.gz (attempt 1/4)
2026-09-17 11:44:25,695 | INFO    | ingestion.chirps | Processed 2020-09
2026-09-17 11:44:25,696 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.10.tif.gz (attempt 1/4)
2026-09-17 11:44:32,163 | INFO    | ingestion.chirps | Processed 2020-10
2026-09-17 11:44:32,164 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.11.tif.gz (attempt 1/4)
2026-09-17 11:44:38,298 | INFO    | ingestion.chirps | Processed 2020-11
2026-09-17 11:44:38,298 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2020.12.tif.gz (attempt 1/4)
2026-09-17 11:44:44,885 | INFO    | ingestion.chirps | Processed 2020-12
2026-09-17 11:44:44,886 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.01.tif.gz (attempt 1/4)
2026-09-17 11:44:50,504 | INFO    | ingestion.chirps | Processed 2021-01
2026-09-17 11:44:50,504 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.02.tif.gz (attempt 1/4)
2026-09-17 11:44:56,689 | INFO    | ingestion.chirps | Processed 2021-02
2026-09-17 11:44:56,689 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.03.tif.gz (attempt 1/4)
2026-09-17 11:45:03,624 | INFO    | ingestion.chirps | Processed 2021-03
2026-09-17 11:45:03,625 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.04.tif.gz (attempt 1/4)
2026-09-17 11:45:10,638 | INFO    | ingestion.chirps | Processed 2021-04
2026-09-17 11:45:10,638 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.05.tif.gz (attempt 1/4)
2026-09-17 11:45:16,644 | INFO    | ingestion.chirps | Processed 2021-05
2026-09-17 11:45:16,645 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.06.tif.gz (attempt 1/4)
2026-09-17 11:45:22,946 | INFO    | ingestion.chirps | Processed 2021-06
2026-09-17 11:45:22,946 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.07.tif.gz (attempt 1/4)
2026-09-17 11:45:31,818 | INFO    | ingestion.chirps | Processed 2021-07
2026-09-17 11:45:31,818 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2021.08.tif.gz (attempt 1/4)
